,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,pyhta_rate_tol,pyhta_rate_home,pyhta_rate_away,diff_tol,diff_home,diff_away,win_type,win_rate,pyhta_rate,diff_rate
51,Auburn,35,25,10,21,10,11,0.679092099,0.750164839,0.552771921,-0.054092099,-0.035879124,-0.076581444,wrate_away,0.476190476,0.552771921,-0.076581444
52,UNLV,25,8,17,30,8,22,0.342428723,0.336366872,0.347665349,-0.051519633,-0.016366872,-0.080998683,wrate_tol,0.290909091,0.342428723,-0.051519633
53,UNLV,25,8,17,30,8,22,0.342428723,0.336366872,0.347665349,-0.051519633,-0.016366872,-0.080998683,wrate_home,0.32,0.336366872,-0.016366872
54,UNLV,25,8,17,30,8,22,0.342428723,0.336366872,0.347665349,-0.051519633,-0.016366872,-0.080998683,wrate_away,0.266666667,0.347665349,-0.080998683
55,East Carolina,26,9,17,28,5,23,0.309997146,0.399010717,0.233002388,-0.050737886,-0.052856871,-0.05443096,wrate_tol,0.259259259,0.309997146,-0.050737886
56,East Carolina,26,9,17,28,5,23,0.309997146,0.399010717,0.233002388,-0.050737886,-0.052856871,-0.05443096,wrate_home,0.346153846,0.399010717,-0.052856871
57,East Carolina,26,9,17,28,5,23,0.309997146,0.399010717,0.233002388,-0.050737886,-0.052856871,-0.05443096,wrate_away,0.178571429,0.233002388,-0.05443096
58,Rice,28,5,23,30,6,24,0.239097103,0.232453948,0.244933077,-0.049441931,-0.05388252,-0.044933077,wrate_tol,0.189655172,0.239097103,-0.049441931
59,Rice,28,5,23,30,6,24,0.239097103,0.232453948,0.244933077,-0.049441931,-0.05388252,-0.044933077,wrate_home,0.178571429,0.232453948,-0.05388252
60,Rice,28,5,23,30,6,24,0.239097103,0.232453948,0.244933077,-0.049441931,-0.05388252,-0.044933077,wrate_away,0.2,0.244933077,-0.044933077
61,Coastal Carolina,15,5,10,19,7,12,0.401709142,0.316929699,0.461311176,-0.048767965,0.016403635,-0.092890123,wrate_tol,0.352941176,0.401709142,-0.048767965
62,Coastal Carolina,15,5,10,19,7,12,0.401709142,0.316929699,0.461311176,-0.048767965,0.016403635,-0.092890123,wrate_home,0.333333333,0.316929699,0.016403635
63,Coastal Carolina,15,5,10,19,7,12,0.401709142,0.316929699,0.461311176,-0.048767965,0.016403635,-0.092890123,wrate_away,0.368421053,0.461311176,-0.092890123
64,San Jose State,25,8,17,31,5,26,0.27704918,0.327087024,0.241736262,-0.044906323,-0.007087024,-0.08044594,wrate_tol,0.232142857,0.27704918,-0.044906323
