,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,diff,win_type,win_rate,pyhta_rate
139,Virginia,29,18,11,27,6,21,-0.019624538,wrate_tol,0.428571429,0.448195966
140,Virginia,29,18,11,27,6,21,-0.019624538,wrate_home,0.620689655,0.529617048
141,Virginia,29,18,11,27,6,21,-0.019624538,wrate_away,0.222222222,0.355427777
142,South Alabama,25,10,15,29,4,25,-0.019098402,wrate_tol,0.259259259,0.278357661
143,South Alabama,25,10,15,29,4,25,-0.019098402,wrate_home,0.4,0.357658314
144,South Alabama,25,10,15,29,4,25,-0.019098402,wrate_away,0.137931034,0.215991863
145,Wisconsin,37,30,7,26,18,8,-0.017842719,wrate_tol,0.761904762,0.779747481
146,Wisconsin,37,30,7,26,18,8,-0.017842719,wrate_home,0.810810811,0.844104929
147,Wisconsin,37,30,7,26,18,8,-0.017842719,wrate_away,0.692307692,0.670794498
148,Louisiana Monroe,22,10,12,35,7,28,-0.017488557,wrate_tol,0.298245614,0.315734171
149,Louisiana Monroe,22,10,12,35,7,28,-0.017488557,wrate_home,0.454545455,0.426920051
150,Louisiana Monroe,22,10,12,35,7,28,-0.017488557,wrate_away,0.2,0.240415839
151,BYU,25,15,10,31,14,17,-0.017105428,wrate_tol,0.517857143,0.534962571
152,BYU,25,15,10,31,14,17,-0.017105428,wrate_home,0.6,0.588125592
153,BYU,25,15,10,31,14,17,-0.017105428,wrate_away,0.451612903,0.487032898
154,Kansas State,29,18,11,26,11,15,-0.016725296,wrate_tol,0.527272727,0.543998023
155,Kansas State,29,18,11,26,11,15,-0.016725296,wrate_home,0.620689655,0.583372187
156,Kansas State,29,18,11,26,11,15,-0.016725296,wrate_away,0.423076923,0.499296271
157,Indiana,30,14,16,27,13,14,-0.015809594,wrate_tol,0.473684211,0.489493805
158,Indiana,30,14,16,27,13,14,-0.015809594,wrate_home,0.466666667,0.510862069
159,Indiana,30,14,16,27,13,14,-0.015809594,wrate_away,0.481481481,0.465905717
160,NC State,28,17,11,27,12,15,-0.013951985,wrate_tol,0.527272727,0.541224712
161,NC State,28,17,11,27,12,15,-0.013951985,wrate_home,0.607142857,0.600397526
162,NC State,28,17,11,27,12,15,-0.013951985,wrate_away,0.444444444,0.479189678
163,TCU,27,16,11,29,16,13,-0.012275193,wrate_tol,0.571428571,0.583703764
164,TCU,27,16,11,29,16,13,-0.012275193,wrate_home,0.592592593,0.616890746
165,TCU,27,16,11,29,16,13,-0.012275193,wrate_away,0.551724138,0.551099268
166,Georgia Southern,23,15,8,32,12,20,-0.010726495,wrate_tol,0.490909091,0.501635586
167,Georgia Southern,23,15,8,32,12,20,-0.010726495,wrate_home,0.652173913,0.674904482
168,Georgia Southern,23,15,8,32,12,20,-0.010726495,wrate_away,0.375,0.374911903
169,Boston College,28,11,17,27,13,14,-0.010598925,wrate_tol,0.436363636,0.446962562
170,Boston College,28,11,17,27,13,14,-0.010598925,wrate_home,0.392857143,0.443150705
171,Boston College,28,11,17,27,13,14,-0.010598925,wrate_away,0.481481481,0.450719071
172,Western Kentucky,27,19,8,31,17,14,-0.010125999,wrate_tol,0.620689655,0.630815654
173,Western Kentucky,27,19,8,31,17,14,-0.010125999,wrate_home,0.703703704,0.680525278
174,Western Kentucky,27,19,8,31,17,14,-0.010125999,wrate_away,0.548387097,0.579257671
175,Illinois,32,11,21,25,6,19,-0.009919743,wrate_tol,0.298245614,0.308165357
176,Illinois,32,11,21,25,6,19,-0.009919743,wrate_home,0.34375,0.344266927
177,Illinois,32,11,21,25,6,19,-0.009919743,wrate_away,0.24,0.267581995
178,Maryland,28,10,18,28,7,21,-0.008897708,wrate_tol,0.303571429,0.312469136
179,Maryland,28,10,18,28,7,21,-0.008897708,wrate_home,0.357142857,0.352987801
180,Maryland,28,10,18,28,7,21,-0.008897708,wrate_away,0.25,0.272058545
181,Bowling Green,24,7,17,33,12,21,-0.005396032,wrate_tol,0.333333333,0.338729366
182,Bowling Green,24,7,17,33,12,21,-0.005396032,wrate_home,0.291666667,0.419482299
183,Bowling Green,24,7,17,33,12,21,-0.005396032,wrate_away,0.363636364,0.281155368
184,Iowa,33,25,8,25,17,8,-0.003777648,wrate_tol,0.724137931,0.727915579
185,Iowa,33,25,8,25,17,8,-0.003777648,wrate_home,0.757575758,0.768162952
186,Iowa,33,25,8,25,17,8,-0.003777648,wrate_away,0.68,0.673846107
187,Southern Mississippi,24,16,8,31,15,16,-0.002903612,wrate_tol,0.563636364,0.566539976
188,Southern Mississippi,24,16,8,31,15,16,-0.002903612,wrate_home,0.666666667,0.666311478
189,Southern Mississippi,24,16,8,31,15,16,-0.002903612,wrate_away,0.483870968,0.493464331
190,Middle Tennessee,25,17,8,32,12,20,-0.002545066,wrate_tol,0.50877193,0.511316996
191,Middle Tennessee,25,17,8,32,12,20,-0.002545066,wrate_home,0.68,0.662162162
192,Middle Tennessee,25,17,8,32,12,20,-0.002545066,wrate_away,0.375,0.397220115
193,Utah,29,22,7,29,17,12,-0.002204913,wrate_tol,0.672413793,0.674618706
194,Utah,29,22,7,29,17,12,-0.002204913,wrate_home,0.75862069,0.725548808
195,Utah,29,22,7,29,17,12,-0.002204913,wrate_away,0.586206897,0.625664231
196,Wyoming,28,19,9,29,8,21,0.000135255,wrate_tol,0.473684211,0.473548955
197,Wyoming,28,19,9,29,8,21,0.000135255,wrate_home,0.678571429,0.580954105
198,Wyoming,28,19,9,29,8,21,0.000135255,wrate_away,0.275862069,0.368865838
199,Minnesota,33,22,11,25,10,15,0.001266992,wrate_tol,0.551724138,0.550457146
200,Minnesota,33,22,11,25,10,15,0.001266992,wrate_home,0.666666667,0.623647561
201,Minnesota,33,22,11,25,10,15,0.001266992,wrate_away,0.4,0.455155287
202,Air Force,26,19,7,30,13,17,0.001523106,wrate_tol,0.571428571,0.569905466
203,Air Force,26,19,7,30,13,17,0.001523106,wrate_home,0.730769231,0.652732817
204,Air Force,26,19,7,30,13,17,0.001523106,wrate_away,0.433333333,0.505353166
205,Charlotte,25,8,17,30,7,23,0.003476337,wrate_tol,0.272727273,0.269250936
206,Charlotte,25,8,17,30,7,23,0.003476337,wrate_home,0.32,0.343820892
207,Charlotte,25,8,17,30,7,23,0.003476337,wrate_away,0.233333333,0.218267985
208,UT San Antonio,26,9,17,30,10,20,0.003745696,wrate_tol,0.339285714,0.335540019
209,UT San Antonio,26,9,17,30,10,20,0.003745696,wrate_home,0.346153846,0.396629541
210,UT San Antonio,26,9,17,30,10,20,0.003745696,wrate_away,0.333333333,0.282399689
211,Georgia State,25,10,15,30,11,19,0.004547499,wrate_tol,0.381818182,0.377270683
212,Georgia State,25,10,15,30,11,19,0.004547499,wrate_home,0.4,0.438649098
213,Georgia State,25,10,15,30,11,19,0.004547499,wrate_away,0.366666667,0.330663167
214,Duke,26,11,15,29,13,16,0.005146527,wrate_tol,0.436363636,0.431217109
215,Duke,26,11,15,29,13,16,0.005146527,wrate_home,0.423076923,0.407263181
216,Duke,26,11,15,29,13,16,0.005146527,wrate_away,0.448275862,0.450000313
217,Old Dominion,26,11,15,29,8,21,0.005827377,wrate_tol,0.345454545,0.339627168
218,Old Dominion,26,11,15,29,8,21,0.005827377,wrate_home,0.423076923,0.385005945
219,Old Dominion,26,11,15,29,8,21,0.005827377,wrate_away,0.275862069,0.300266816
220,Penn State,36,33,3,25,14,11,0.006202692,wrate_tol,0.770491803,0.764289111
221,Penn State,36,33,3,25,14,11,0.006202692,wrate_home,0.916666667,0.844089392
222,Penn State,36,33,3,25,14,11,0.006202692,wrate_away,0.56,0.631415666
223,Vanderbilt,28,13,15,27,6,21,0.0063307,wrate_tol,0.345454545,0.339123846
224,Vanderbilt,28,13,15,27,6,21,0.0063307,wrate_home,0.464285714,0.399187217
225,Vanderbilt,28,13,15,27,6,21,0.0063307,wrate_away,0.222222222,0.279977099
226,Louisiana Tech,24,17,7,32,16,16,0.008181529,wrate_tol,0.589285714,0.581104185
227,Louisiana Tech,24,17,7,32,16,16,0.008181529,wrate_home,0.708333333,0.658814872
228,Louisiana Tech,24,17,7,32,16,16,0.008181529,wrate_away,0.5,0.514662789
229,Wake Forest,28,12,16,27,13,14,0.011082011,wrate_tol,0.454545455,0.443463444
230,Wake Forest,28,12,16,27,13,14,0.011082011,wrate_home,0.428571429,0.464932696
231,Wake Forest,28,12,16,27,13,14,0.011082011,wrate_away,0.481481481,0.420453632
232,Northern Illinois,25,15,10,33,16,17,0.012184146,wrate_tol,0.534482759,0.522298613
233,Northern Illinois,25,15,10,33,16,17,0.012184146,wrate_home,0.6,0.631242886
234,Northern Illinois,25,15,10,33,16,17,0.012184146,wrate_away,0.484848485,0.436990415
235,Louisiana,25,14,11,32,13,19,0.013123711,wrate_tol,0.473684211,0.460560499
236,Louisiana,25,14,11,32,13,19,0.013123711,wrate_home,0.56,0.546551823
237,Louisiana,25,14,11,32,13,19,0.013123711,wrate_away,0.40625,0.394219365
238,Troy,25,16,9,31,17,14,0.013543996,wrate_tol,0.589285714,0.575741718
239,Troy,25,16,9,31,17,14,0.013543996,wrate_home,0.64,0.613262599
240,Troy,25,16,9,31,17,14,0.013543996,wrate_away,0.548387097,0.544408561
241,Arizona State,30,21,9,27,8,19,0.013847941,wrate_tol,0.50877193,0.494923989
242,Arizona State,30,21,9,27,8,19,0.013847941,wrate_home,0.7,0.580889971
243,Arizona State,30,21,9,27,8,19,0.013847941,wrate_away,0.296296296,0.398488674
244,South Carolina,31,18,13,24,6,18,0.01448199,wrate_tol,0.436363636,0.421881646
245,South Carolina,31,18,13,24,6,18,0.01448199,wrate_home,0.580645161,0.514138587
246,South Carolina,31,18,13,24,6,18,0.01448199,wrate_away,0.25,0.311329983
247,California,28,17,11,28,10,18,0.015128695,wrate_tol,0.482142857,0.467014162
248,California,28,17,11,28,10,18,0.015128695,wrate_home,0.607142857,0.54276118
249,California,28,17,11,28,10,18,0.015128695,wrate_away,0.357142857,0.389700456
250,Houston,29,21,8,27,15,12,0.015251605,wrate_tol,0.642857143,0.627605538
251,Houston,29,21,8,27,15,12,0.015251605,wrate_home,0.724137931,0.671198635
252,Houston,29,21,8,27,15,12,0.015251605,wrate_away,0.555555556,0.578668831
253,Rutgers,32,7,25,25,3,22,0.016188488,wrate_tol,0.175438596,0.159250109
254,Rutgers,32,7,25,25,3,22,0.016188488,wrate_home,0.21875,0.219895266
255,Rutgers,32,7,25,25,3,22,0.016188488,wrate_away,0.12,0.09773023
256,North Texas,24,15,9,32,9,23,0.016724667,wrate_tol,0.428571429,0.411846761
257,North Texas,24,15,9,32,9,23,0.016724667,wrate_home,0.625,0.567597714
258,North Texas,24,15,9,32,9,23,0.016724667,wrate_away,0.28125,0.293643507
259,Louisville,27,15,12,29,14,15,0.017305571,wrate_tol,0.517857143,0.500551572
260,Louisville,27,15,12,29,14,15,0.017305571,wrate_home,0.555555556,0.565302408
261,Louisville,27,15,12,29,14,15,0.017305571,wrate_away,0.482758621,0.441868823
262,UCF,28,20,8,27,15,12,0.017425767,wrate_tol,0.636363636,0.618937869
263,UCF,28,20,8,27,15,12,0.017425767,wrate_home,0.714285714,0.648362923
264,UCF,28,20,8,27,15,12,0.017425767,wrate_away,0.555555556,0.585396064
265,Marshall,28,19,9,28,12,16,0.02125644,wrate_tol,0.553571429,0.532314989
266,Marshall,28,19,9,28,12,16,0.02125644,wrate_home,0.678571429,0.586957738
267,Marshall,28,19,9,28,12,16,0.02125644,wrate_away,0.428571429,0.471113839
268,West Virginia,29,20,9,26,13,13,0.02145494,wrate_tol,0.6,0.57854506
269,West Virginia,29,20,9,26,13,13,0.02145494,wrate_home,0.689655172,0.668924511
270,West Virginia,29,20,9,26,13,13,0.02145494,wrate_away,0.5,0.477255773
271,Navy,29,23,6,29,11,18,0.021456324,wrate_tol,0.586206897,0.564750572
272,Navy,29,23,6,29,11,18,0.021456324,wrate_home,0.793103448,0.61829653
273,Navy,29,23,6,29,11,18,0.021456324,wrate_away,0.379310345,0.51283987
274,Liberty,8,6,2,17,5,12,0.023333673,wrate_tol,0.44,0.416666327
275,Liberty,8,6,2,17,5,12,0.023333673,wrate_home,0.75,0.595712491
276,Liberty,8,6,2,17,5,12,0.023333673,wrate_away,0.294117647,0.360228207
277,Oregon,30,23,7,26,11,15,0.023789546,wrate_tol,0.607142857,0.583353311
278,Oregon,30,23,7,26,11,15,0.023789546,wrate_home,0.766666667,0.665895954
279,Oregon,30,23,7,26,11,15,0.023789546,wrate_away,0.423076923,0.476448124
280,Georgia,31,24,7,27,21,6,0.024242743,wrate_tol,0.775862069,0.751619325
281,Georgia,31,24,7,27,21,6,0.024242743,wrate_home,0.774193548,0.802291062
282,Georgia,31,24,7,27,21,6,0.024242743,wrate_away,0.777777778,0.687629032
283,Nevada,25,15,10,30,9,21,0.024534811,wrate_tol,0.436363636,0.411828825
284,Nevada,25,15,10,30,9,21,0.024534811,wrate_home,0.6,0.519760512
285,Nevada,25,15,10,30,9,21,0.024534811,wrate_away,0.3,0.320711784
286,Miami,26,20,6,29,14,15,0.025030278,wrate_tol,0.618181818,0.59315154
287,Miami,26,20,6,29,14,15,0.025030278,wrate_home,0.769230769,0.662500724
288,Miami,26,20,6,29,14,15,0.025030278,wrate_away,0.482758621,0.524477968
289,Miami (OH),25,13,12,32,12,20,0.026624361,wrate_tol,0.438596491,0.41197213
290,Miami (OH),25,13,12,32,12,20,0.026624361,wrate_home,0.52,0.546130126
291,Miami (OH),25,13,12,32,12,20,0.026624361,wrate_away,0.375,0.318364115
292,Texas A&M,33,23,10,22,10,12,0.027730498,wrate_tol,0.6,0.572269502
293,Texas A&M,33,23,10,22,10,12,0.027730498,wrate_home,0.696969697,0.6581813
294,Texas A&M,33,23,10,22,10,12,0.027730498,wrate_away,0.454545455,0.408045333
295,Florida,34,24,10,23,14,9,0.028691084,wrate_tol,0.666666667,0.637975583
296,Florida,34,24,10,23,14,9,0.028691084,wrate_home,0.705882353,0.707250458
297,Florida,34,24,10,23,14,9,0.028691084,wrate_away,0.608695652,0.525479188
298,Western Michigan,25,18,7,31,17,14,0.030737114,wrate_tol,0.625,0.594262886
299,Western Michigan,25,18,7,31,17,14,0.030737114,wrate_home,0.72,0.672014249
300,Western Michigan,25,18,7,31,17,14,0.030737114,wrate_away,0.548387097,0.526214908
301,Cincinnati,27,18,9,30,13,17,0.031394395,wrate_tol,0.543859649,0.512465254
302,Cincinnati,27,18,9,30,13,17,0.031394395,wrate_home,0.666666667,0.616199253
303,Cincinnati,27,18,9,30,13,17,0.031394395,wrate_away,0.433333333,0.420363595
304,Notre Dame,35,30,5,25,15,10,0.033170754,wrate_tol,0.75,0.716829246
305,Notre Dame,35,30,5,25,15,10,0.033170754,wrate_home,0.857142857,0.794115787
306,Notre Dame,35,30,5,25,15,10,0.033170754,wrate_away,0.6,0.601852048
307,Florida International,29,18,11,27,9,18,0.034498552,wrate_tol,0.482142857,0.447644305
308,Florida International,29,18,11,27,9,18,0.034498552,wrate_home,0.620689655,0.555871689
309,Florida International,29,18,11,27,9,18,0.034498552,wrate_away,0.333333333,0.330427548
310,Florida State,29,19,10,26,12,14,0.036891531,wrate_tol,0.563636364,0.526744833
311,Florida State,29,19,10,26,12,14,0.036891531,wrate_home,0.655172414,0.618678885
312,Florida State,29,19,10,26,12,14,0.036891531,wrate_away,0.461538462,0.409696847
